File Name,Job Title,EXP Job Title,Job Number,Job Duties,Salary Range,Open Date,EXPERIENCE_LENGTH,Education Years,PART-TIME OR FULL-TIME,School Type,Educational Major,Required License,Exam Type,COURSE_SUBJECT,Course Counts,Course Length ,Job Requirements
cityofla/Job Bulletins\311 DIRECTOR  9206 041814.txt,311 DIRECTOR,SENIOR MANAGEMENT ANALYST,9206,"A 311 Director is responsible for the successful operation and expansion of the 311 Call Center in the Information Technology Agency (ITA) which answers call from constituents regarding Citywide services provided by City departments; works to ensure the efficient and effective resolution of any issues that may arise; plans, directs, hires, coaches, and coordinates a large staff of professional, technical and clerical employees engaged in the implementation, administration, and operations of the City's 311 Call Center; applies sound supervisor principles and techniques in building and maintaining and effective work force; fulfills equal opportunity responsibilities; and does related work.","$125,175 to $155,514",4/18/2014,1,1,PART-TIME,COLLEGE OR UNIVERSITY,SALES,P,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. One year of full-time paid experience as a Senior Management Analyst with the City of Los Angeles or in a class which is at least at the level which provides professional experience in supervisory or managerial work relating to a call center with at least 50 call agents or a call center that receives at least one million calls annually; or
2. A Bachelor's degree from a recognized college or university and four years of full-time paid experience in a call center environment with at least 50 call agents or a call center that receives at least one million calls annually, two years of which must be supervising staff working at such a call center; or
3. Eight years of full-time paid experience in a call center environment with at least 50 call agents or call center that receives at least one million calls annually, two years of which must be supervising staff working at such a call center."
cityofla/Job Bulletins\ACCOUNTANT 1513 062218.txt,ACCOUNTANT,,1513,"An Accountant does professional accounting work in the analysis, preparation, maintenance, control, and reconciliation of financial records and reports in accordance with the principles of governmental and public accounting.","$49,903 to $72,996 and $55,019 to $80,472",6/22/2018,,4,None,COLLEGE OR UNIVERSITY,ACCOUNTING,R,ONLY ON AN OPEN COMPETITIVE BASIS,accounting.,2,1,Graduation from an accredited four-year college or university and at least 24 semester or 36 quarter units in accounting.
cityofla/Job Bulletins\ACCOUNTING CLERK 1223 071318.txt,ACCOUNTING CLERK,CASHIER,1223,"An Accounting Clerk performs difficult and responsible clerical accounting work in the review, preparation, processing, reconciliation, and maintenance of accounting records and reports, or payroll and time keeping documents; processing and monitoring of invoice payments, and personal services contract invoice payments; may perform cashiering duties; or may act as a lead person in the performance of such work.","$49,005 to $71,618",7/13/2018,2,1,PART-TIME,SCHOOL,ACCOUNTING,P,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,"bookkeeping or accounting from an accredited trade school, college or university may be substituted for a maximum of six months of the above required experience.",2,8,"Two years of full-time paid office clerical experience, including one year of full-time paid clerical accounting work.
Successful completion of 6 semester or 9 quarter units in bookkeeping or accounting from an accredited trade school, college or university may be substituted for a maximum of six months of the above required experience."
cityofla/Job Bulletins\ACCOUNTING RECORDS SUPERVISOR 1119 072718.txt,ACCOUNTING RECORDS SUPERVISOR,CASHIER,1119,"An Accounting Records Supervisor assigns, reviews and evaluates the work of a group of clerical employees engaged in the preparation, processing, and maintenance of a wide variety of accounting or financial records; or supervises accounting clerical personnel serving as cashiers or tellers; applies sound supervisory techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","$55,332 to $80,930 and $65,145 to $95,254",7/27/2018,2,,FULL-TIME,None,ACCOUNTING,P,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,"Two years of full-time paid experience as an Accounting Clerk, or in a class at the level of Senior Administrative Clerk (formerly Senior Clerk) which provides experience in office clerical accounting or cashiering."
cityofla/Job Bulletins\ADMINISTRATIVE ANALYST 1590 060118.txt,ADMINISTRATIVE ANALYST,MANAGEMENT ASSISTANT,1590,"An Administrative Analyst performs professional work in the Office of the City Administrative Officer investigating, assembling, and interpreting facts and making reports and recommendations in administrative, fiscal, budgetary, compensation, facilities, contract analysis, capital projects or procedural analysis of City activities and services.","$60,489 to $88,468 and $71,451 to $104,462",6/1/2018,1,4,FULL-TIME,COLLEGE OR UNIVERSITY,ACCOUNTING,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,"1. One year of full-time paid professional experience as a Management Assistant with the City of Los Angeles with experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administration; or
2. Two years of full-time paid experience as a Management Aide with the City of Los Angeles with experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administration; or
3. One year of full-time paid experience with the City of Los Angeles as a Chief Clerk or in a clerical class at that level.
A bachelor's degree from an accredited four-year college or university may substitute for one year of full-time paid experience as a Management Aide in Requirement #2."
cityofla/Job Bulletins\ADMINISTRATIVE CLERK 1358 033018 (2).txt,ADMINISTRATIVE CLERK,,1358,"An Administrative Clerk performs general office work, which may include customer service, basic word processing, data entry, filing and organizing, and related work.","$37,584 to $54,935",3/30/2018,,,FULL-TIME,HIGH SCHOOL,SALES,R,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,Six months of full-time paid experience in clerical work or retail sales.
cityofla/Job Bulletins\ADMINISTRATIVE HEARING EXAMINER 9135 100915.txt,ADMINISTRATIVE HEARING EXAMINER,MANAGEMENT ASSISTANT,9135,"An Administrative Hearing Examiner conducts quasi-judicial administrative hearings on appeals on parking violation citations, adjudicates written declaration requests for reconsideration of parking violation citations, conducts vehicle impound hearings, and does related work.","$54,726 to $80,012",10/9/2015,2,,PART-TIME,None,,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,,0,0,"1. Two years of full-time paid experience with the City of Los Angeles as a Management Assistant or Management Aide interpreting and applying State and Federal regulations, City ordinances, the City Administrative Code and/or the City Charter; or
2. Two years of full-time paid experience with the City of Los Angeles as a Senior Traffic Supervisor; or
3. Two years of full-time paid experience with the City of Los Angeles as a Transportation Investigator or in a class at that level conducting administrative hearings on appeals, interviewing respondents and witnesses, and preparing written decisions based upon findings; or
4. 520 hours of paid experience with the City of Los Angeles within the past two years from the date of filing as an exempt or contract Administratve Hearing Examiner."
cityofla/Job Bulletins\ADVANCE PRACTICE PROVIDER CORRECTIONAL CARE 2325 020808 REV 111214.txt,ADVANCE PRACTICE PROVIDER CORRECTIONAL CARE,REGISTERED NURSE ,2325,"An Advance Practice Provider Correctional Care is responsible for obtaining medical histories, performing physical examinations, ordering and interpreting diagnostic tests, assessing medical conditions, providing medical care and treatment, and performing related duties as required under standardized procedures and/or protocols established by the department in one of the City's correctional care facilities.","$78,487 to $97,530 and $84,459 to $104,922",2/8/2008,,,None,None,MEDICINE,P,ONLY ON AN OPEN COMPETITIVE BASIS,,0,0,"1. Must be licensed as a: 
a. Registered Nurse and certified as a Nurse Practitioner by the California Board of Registered Nursing with documentation of education and training as a Nurse Practitioner in family practice, adult, or emergency medicine, and possess a current license, Furnishing Number, and a Drug Enforcement Administration (DEA) registration number which provides the ability to provide drug/medication orders in the State of California; or
b. Physician Assistant with documentation of education and training as a Physician Assistant in family practice, adult, or emergency medicine, and possess a current license and a Drug Enforcement Administration (DEA) registration number which provides the ability to provide drug/medication orders in the State of California; and  
2. Must have a current, valid American Heart Association Healthcare Provider CPR card (Applicants must list the expiration date of their CPR card in the free-flowing text box on the application)."
cityofla/Job Bulletins\AIR CONDITIONING MECHANIC 3774 041417.txt,AIR CONDITIONING MECHANIC,MECHANIC,3774,"An Air Conditioning Mechanic installs, modifies, maintains, and repairs air-conditioning, refrigeration, heating, ventilating, and related equipment including control systems which may utilize electric, electronic, pneumatic or direct digital controls.","$90,118 (flat-rated)",4/14/2017,6,2,PART-TIME,APPRENTICESHIP,REFRIGERATION AND AIR CONDITIONING,R,BOTH AN INTERDEPARTMENTAL PROMOTIONAL AND OPEN COMPETITIVE BASIS,"Air Conditioning Technology, Refrigeration and Air Conditioning Mechanics or Air Conditioning and Refrigeration Technology from a recognized college or trade school may be substituted for each year of the experience lacking specified in Requirement #2, up to a maximum of two years.",1,2,"1. Completion of a recognized apprenticeship as a refrigeration and air conditioning fitter; or
2. Six years of full-time paid experience installing, modifying, maintaining, and repairing air conditioning, refrigeration, heating, ventilating, and related equipment.
Completion of 12 semester or 18 quarter units in Air Conditioning Technology, Refrigeration and Air Conditioning Mechanics or Air Conditioning and Refrigeration Technology from a recognized college or trade school may be substituted for each year of the experience lacking specified in Requirement #2, up to a maximum of two years."
cityofla/Job Bulletins\AIR CONDITIONING MECHANIC SUPERVISOR 3781 111618 2.txt,AIR CONDITIONING MECHANIC SUPERVISOR,MECHANIC,3781,"An Air Conditioning Mechanic Supervisor assigns, reviews and evaluates the work of a crew engaged in the installation, modification, maintenance and repair of refrigeration, air conditioning, heating and ventilating equipment and related facilities; lays out and prepares cost estimates for new installations; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","$103,841 and $108,482 (flat-rated)",11/16/2018,4,,FULL-TIME,None,AIR CONDITIONING,R,ONLY ON AN INTERDEPARTMENTAL PROMOTIONAL BASIS,,0,0,"Four years of full-time paid experience as an air conditioning mechanic or in a craft at the journey-level involved in the installation, modification, maintenance and repair of air conditioning, refrigeration, heating and ventilating equipment, two years of which must include experience working with one or more of the following controls:
a. electric controls
b. electronic controls
c. pneumatic controls
d. direct digital control systems
e. energy management and building automation controls"
